"Antimicrobial","Species","Animal","LI","LC","M","UC","UI"
"SM","Enterococci","Calves",0.213514518694833,0.252290617618486,0.273297036468121,0.296927780238433,0.34369059583231
"SM","Campylobacter","Pigs",0.0191975520472755,0.0766913884525737,0.135550066569275,0.21638898848449,0.430253383600729
"SM","E.coli","Pigs",0.235659536775941,0.284944751052355,0.312926620152093,0.340333846841597,0.392663630114249
"SM","Enterococci","Pigs",0.130597641364256,0.168175100553768,0.189630988703415,0.213820203078037,0.265672290535842
"SM","Campylobacter","Poultry",0.0023398455526133,0.00592766923769338,0.00891406076612615,0.0129049987961436,0.0240901046758034
"SM","E.coli","Poultry",0.0627546712419919,0.0869066737138749,0.101746021884594,0.118480668561665,0.157009817600241
"SM","Enterococci","Poultry",0.013278420797816,0.0228465433970587,0.0293334809875871,0.037147154563412,0.0557414355959132
"SP","E.coli","Calves",0.0511337064644534,0.0685173989185669,0.0793236474721503,0.0915119443215268,0.117092588162218
"SP","E.coli","Pigs",0.168079936328693,0.209417615058405,0.232638659845801,0.258763265488652,0.313219923454208
"SP","E.coli","Poultry",0.0288365582436423,0.0437911739712658,0.0531967531017739,0.0647044427951166,0.0925008692821688
"TE","Campylobacter","Calves",5.43389522557758e-05,0.000719383208823759,0.00242792416548869,0.00687958742647534,0.030283414729702
"TE","E.coli","Calves",0.328141167220183,0.375542985008705,0.399684970074679,0.424807479564601,0.472832677707703
"TE","Enterococci","Calves",0.494682031033665,0.544790485723611,0.569148356872378,0.595086612833248,0.643249514257567
"TE","Campylobacter","Pigs",0.0570878041381468,0.153177708778567,0.237974994210742,0.33983072417992,0.552370477275227
"TE","E.coli","Pigs",0.399525626989168,0.460049981416693,0.493283379811277,0.525099182667407,0.586351186876951
"TE","Enterococci","Pigs",0.362243874773121,0.420624839204528,0.452542141184692,0.485660763188923,0.556240673112591
"TE","Campylobacter","Poultry",0.000293185818968561,0.00162142282035363,0.00320103794355607,0.00544900881485595,0.0130190874303284
"TE","E.coli","Poultry",0.0772115982049885,0.102766367079215,0.119423141181379,0.137425964930091,0.179194312032241
"TE","Enterococci","Poultry",0.455317922014159,0.522023500963416,0.557357998335463,0.590760791219754,0.652810077612276
"TM","E.coli","Calves",0.0829513167170858,0.105414300703081,0.119154129012459,0.13395940344641,0.164368345270637
"TM","E.coli","Pigs",0.0451947116125409,0.0633737313665854,0.0750348694710377,0.0876939247381803,0.116371757421865
"TM","E.coli","Poultry",0.0350773855127346,0.0511980222463825,0.0615052881504131,0.0735316219185707,0.100457043034935
"VM","Enterococci","Calves",2.41854861581257e-05,0.000301559064946672,0.000862131717429555,0.00213957550483092,0.00752850736626055
"VM","Enterococci","Pigs",2.9889976133172e-05,0.000281632802522025,0.000860785370015517,0.00218334604401172,0.00723703855472642
"VM","Enterococci","Poultry",2.65747800174381e-05,0.000291079867229172,0.000826373979166486,0.001959886846751,0.00704332718369156
